,Use Case,LTE/5g Category,Technology Supported,Day,Time,GBR,Packet Loss Rate,Packet delay,slice Type
1,Smartphone,1,LTE/5G,sunday,1,Non-GBR,0.01,100,eMBB
2,Smartphone,1,LTE/5G,sunday,2,Non-GBR,0.01,100,eMBB
3,Smartphone,1,LTE/5G,sunday,3,Non-GBR,0.01,100,eMBB
4,Smartphone,1,LTE/5G,sunday,4,Non-GBR,0.01,100,eMBB
5,Smartphone,1,LTE/5G,sunday,5,Non-GBR,0.01,100,eMBB
6,Smartphone,1,LTE/5G,sunday,6,Non-GBR,0.01,100,eMBB
7,Smartphone,1,LTE/5G,sunday,7,Non-GBR,0.01,100,eMBB
8,Smartphone,1,LTE/5G,sunday,8,Non-GBR,0.01,100,eMBB
9,Smartphone,1,LTE/5G,sunday,9,Non-GBR,0.01,100,eMBB
10,Smartphone,1,LTE/5G,sunday,10,Non-GBR,0.01,100,eMBB
11,Smartphone,1,LTE/5G,sunday,11,Non-GBR,0.01,100,eMBB
12,Smartphone,1,LTE/5G,sunday,12,Non-GBR,0.01,100,eMBB
13,Smartphone,1,LTE/5G,sunday,13,Non-GBR,0.01,100,eMBB
14,Smartphone,1,LTE/5G,sunday,14,Non-GBR,0.01,100,eMBB
15,Smartphone,1,LTE/5G,sunday,15,Non-GBR,0.01,100,eMBB
16,Smartphone,1,LTE/5G,sunday,16,Non-GBR,0.01,100,eMBB
17,Smartphone,1,LTE/5G,sunday,17,Non-GBR,0.01,100,eMBB
18,Smartphone,1,LTE/5G,sunday,18,Non-GBR,0.01,100,eMBB
19,Smartphone,1,LTE/5G,sunday,19,Non-GBR,0.01,100,eMBB
20,Smartphone,1,LTE/5G,sunday,20,Non-GBR,0.01,100,eMBB
21,Smartphone,1,LTE/5G,sunday,21,Non-GBR,0.01,100,eMBB
22,Smartphone,1,LTE/5G,sunday,22,Non-GBR,0.01,100,eMBB
23,Smartphone,1,LTE/5G,sunday,23,Non-GBR,0.01,100,eMBB
24,Smartphone,1,LTE/5G,monday,0,Non-GBR,0.01,100,eMBB
25,Smartphone,1,LTE/5G,monday,1,Non-GBR,0.01,100,eMBB
26,Smartphone,1,LTE/5G,monday,2,Non-GBR,0.01,100,eMBB
27,Smartphone,1,LTE/5G,monday,3,Non-GBR,0.01,100,eMBB
28,Smartphone,1,LTE/5G,monday,4,Non-GBR,0.01,100,eMBB
29,Smartphone,1,LTE/5G,monday,5,Non-GBR,0.01,100,eMBB
30,Smartphone,1,LTE/5G,monday,6,Non-GBR,0.01,100,eMBB
31,Smartphone,1,LTE/5G,monday,7,Non-GBR,0.01,100,eMBB
32,Smartphone,1,LTE/5G,monday,8,Non-GBR,0.01,100,eMBB
33,Smartphone,1,LTE/5G,monday,9,Non-GBR,0.01,100,eMBB
34,Smartphone,1,LTE/5G,monday,10,Non-GBR,0.01,100,eMBB
35,Smartphone,1,LTE/5G,monday,11,Non-GBR,0.01,100,eMBB
36,Smartphone,1,LTE/5G,monday,12,Non-GBR,0.01,100,eMBB
37,Smartphone,1,LTE/5G,monday,13,Non-GBR,0.01,100,eMBB
38,Smartphone,1,LTE/5G,monday,14,Non-GBR,0.01,100,eMBB
39,Smartphone,1,LTE/5G,monday,15,Non-GBR,0.01,100,eMBB
40,Smartphone,1,LTE/5G,monday,16,Non-GBR,0.01,100,eMBB
41,Smartphone,1,LTE/5G,monday,17,Non-GBR,0.01,100,eMBB
42,Smartphone,1,LTE/5G,monday,18,Non-GBR,0.01,100,eMBB
43,Smartphone,1,LTE/5G,monday,19,Non-GBR,0.01,100,eMBB
44,Smartphone,1,LTE/5G,monday,20,Non-GBR,0.01,100,eMBB
45,Smartphone,1,LTE/5G,monday,21,Non-GBR,0.01,100,eMBB
46,Smartphone,1,LTE/5G,monday,22,Non-GBR,0.01,100,eMBB
47,Smartphone,1,LTE/5G,monday,23,Non-GBR,0.01,100,eMBB
48,Smartphone,1,LTE/5G,tuesday,0,Non-GBR,0.01,100,eMBB
