gnb_index,bs_id,simulation_cell_id,opencellid_radio,mcc,net,area,opencellid_cell,lon,lat,range_m,samples,updated,tx_power_dbm,antenna_height_m
0,BS_22101765,1,LTE,208,1,38080,22101765,3.1889,46.9689,5488,62,1703849823,46,40
1,BS_102807367,2,LTE,208,15,5804,102807367,3.1558,47.0307,4959,73,1690302432,46,40
2,BS_102972733,3,LTE,208,15,5805,102972733,3.1174,47.0129,4658,89,1694504002,46,40
3,BS_132058628,4,LTE,208,20,31244,132058628,3.2009,46.9995,4132,53,1709227030,46,40
4,BS_102948423,5,LTE,208,15,5803,102948423,3.2052,46.9933,4031,93,1714922301,46,40
5,BS_134701314,6,LTE,208,20,31244,134701314,3.1957,46.9782,3799,13,1731438688,46,40
6,BS_21967368,7,LTE,208,1,38080,21967368,3.1806,46.9698,3105,69,1715360135,46,40
7,BS_130861059,8,LTE,208,20,31244,130861059,3.193,46.992,2934,22,1709227030,43,30
8,BS_103666238,9,LTE,208,15,5800,103666238,3.1529,46.9731,2687,67,1694503629,43,30
9,BS_102886719,10,LTE,208,15,5802,102886719,3.1444,46.9951,1094,46,1694503905,43,30
10,BS_102886718,11,LTE,208,15,5802,102886718,3.1504,46.9879,1000,40,1694503847,43,30
11,BS_102886708,12,LTE,208,15,5802,102886708,3.1501,46.9879,1000,13,1694503648,43,30
12,BS_102886709,13,LTE,208,15,5802,102886709,3.147,46.9938,1000,15,1691580719,43,30
13,BS_102886707,14,LTE,208,15,5802,102886707,3.1435,46.9984,1000,4,1691580729,43,30
14,BS_77207349,15,LTE,208,15,5804,77207349,3.1393,47.0001,1000,9,1691580748,43,30
15,BS_132053774,16,LTE,208,10,31244,132053774,3.1688,46.9883,1000,1,1709884783,43,30
16,BS_131095051,17,LTE,208,10,31244,131095051,3.1514,46.9845,1000,12,1724591645,43,30
17,BS_131095066,18,LTE,208,10,31244,131095066,3.1513,46.9849,1000,3,1725108545,43,30
18,BS_132270377,19,LTE,208,10,31244,132270377,3.1516,46.9843,1000,11,1725108545,43,30
