# Node ID Mapping: Original -> Sequential
# Format: original_id,sequential_id
original_id,sequential_id
67,0
76,1
79,2
82,3
84,4
85,5
86,6
87,7
89,8
90,9
91,10
93,11
94,12
95,13
96,14
97,15
100,16
101,17
102,18
103,19
104,20
105,21
106,22
107,23
110,24
111,25
112,26
113,27
114,28
115,29
116,30
117,31
118,32
119,33
120,34
121,35
122,36
123,37
124,38
125,39
126,40
127,41
128,42
129,43
130,44
131,45
132,46
133,47
134,48
135,49
136,50
138,51
139,52
142,53
143,54
144,55
146,56
147,57
148,58
149,59
150,60
151,61
152,62
153,63
154,64
155,65
156,66
157,67
158,68
159,69
160,70
161,71
162,72
163,73
164,74
165,75
166,76
167,77
168,78
169,79
170,80
